Age,BootcampLoanYesNo,BootcampName,BootcampRecommend,ChildrenNumber,CityPopulation,CodeEventConferences,CodeEventDjangoGirls,CodeEventFCC,CodeEventGameJam,CodeEventGirlDev,CodeEventHackathons,CodeEventMeetup,CodeEventNodeSchool,CodeEventNone,CodeEventOther,CodeEventRailsBridge,CodeEventRailsGirls,CodeEventStartUpWknd,CodeEventWkdBootcamps,CodeEventWomenCode,CodeEventWorkshops,CommuteTime,CountryCitizen,CountryLive,EmploymentField,EmploymentFieldOther,EmploymentStatus,EmploymentStatusOther,ExpectedEarning,FinanciallySupporting,FirstDevJob,Gender,GenderOther,HasChildren,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasHomeMortgage,HasServedInMilitary,HasStudentDebt,HomeMortgageOwe,HoursLearning,ID.x,ID.y,Income,IsEthnicMinority,IsReceiveDisabilitiesBenefits,IsSoftwareDev,IsUnderEmployed,JobApplyWhen,JobInterestBackEnd,JobInterestDataEngr,JobInterestDataSci,JobInterestDevOps,JobInterestFrontEnd,JobInterestFullStack,JobInterestGameDev,JobInterestInfoSec,JobInterestMobile,JobInterestOther,JobInterestProjMngr,JobInterestQAEngr,JobInterestUX,JobPref,JobRelocateYesNo,JobRoleInterest,JobWherePref,LanguageAtHome,MaritalStatus,MoneyForLearning,MonthsProgramming,NetworkID,Part1EndTime,Part1StartTime,Part2EndTime,Part2StartTime,PodcastChangeLog,PodcastCodeNewbie,PodcastCodePen,PodcastDevTea,PodcastDotNET,PodcastGiantRobots,PodcastJSAir,PodcastJSJabber,PodcastNone,PodcastOther,PodcastProgThrowdown,PodcastRubyRogues,PodcastSEDaily,PodcastSERadio,PodcastShopTalk,PodcastTalkPython,PodcastTheWebAhead,ResourceCodecademy,ResourceCodeWars,ResourceCoursera,ResourceCSS,ResourceEdX,ResourceEgghead,ResourceFCC,ResourceHackerRank,ResourceKA,ResourceLynda,ResourceMDN,ResourceOdinProj,ResourceOther,ResourcePluralSight,ResourceSkillcrush,ResourceSO,ResourceTreehouse,ResourceUdacity,ResourceUdemy,ResourceW3S,SchoolDegree,SchoolMajor,StudentDebtOwe,YouTubeCodeCourse,YouTubeCodingTrain,YouTubeCodingTut360,YouTubeComputerphile,YouTubeDerekBanas,YouTubeDevTips,YouTubeEngineeredTruth,YouTubeFCC,YouTubeFunFunFunction,YouTubeGoogleDev,YouTubeLearnCode,YouTubeLevelUpTuts,YouTubeMIT,YouTubeMozillaHacks,YouTubeOther,YouTubeSimplilearn,YouTubeTheNewBoston,BootcampFinish,Set
19,0,8,1,5,2,1,1,1,1,1,1,0,1,1,62,1,1,1,1,1,1,6,76,67,14,36,9,21,63,2,1,1,3,2,1,0,1,0,0,1,61,14,927,497,111,0,0,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,50,17,727,35,35,30,30,1,1,1,1,1,1,1,1,0,51,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,70,0,1,0,1,0,1,1,2,13,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,1,1,0.0,Train
49,0,67,1,5,3,1,1,0,1,1,1,1,1,1,62,1,0,1,0,1,0,6,79,70,14,36,9,24,41,2,2,5,3,2,2,2,2,2,2,2,61,8,262,921,111,2,2,0,2,1,0,1,1,1,0,0,1,1,1,12,0,1,0,3,1,212,1,62,5,75,6,496,785,787,921,921,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,70,1,1,0,1,1,0,0,10,197,77,1,1,1,1,1,0,1,0,1,1,1,1,1,1,26,1,1,0.0,Train
49,0,0,1,5,3,1,1,0,1,1,1,1,0,1,62,1,1,0,1,1,1,6,79,70,14,36,9,24,63,2,0,5,3,2,2,2,2,2,2,2,61,17,645,346,111,2,2,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,62,5,19,38,381,928,930,809,809,1,0,0,1,1,1,1,0,1,51,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,70,1,1,0,1,1,1,0,10,197,77,0,1,0,1,1,1,1,0,1,1,1,1,1,1,64,0,1,0.0,Train
49,1,95,1,5,3,1,1,1,1,1,1,0,1,1,62,1,1,1,1,1,1,6,79,70,14,36,9,24,63,2,0,5,3,2,2,2,2,2,2,2,61,19,401,921,111,2,2,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,62,5,44,12,54,97,101,921,921,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,70,1,1,0,0,1,1,1,10,197,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1.0,Train
49,1,102,1,5,3,1,1,1,1,1,1,0,1,1,62,1,1,1,1,1,1,6,79,70,14,36,9,24,63,2,1,5,3,2,2,2,2,2,2,2,61,14,276,921,111,2,2,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,62,5,17,35,294,341,346,921,921,1,1,0,1,0,1,0,0,1,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,1,1,0,1,1,1,1,10,197,77,1,1,1,1,0,1,1,1,1,1,1,1,1,1,64,1,0,1.0,Train
13,0,17,1,5,2,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,1,76,67,12,36,2,24,63,2,2,3,3,2,1,0,1,0,0,0,61,10,383,524,47,0,0,0,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,1,2,212,3,14,1,60,24,223,257,263,233,234,1,0,1,1,1,1,1,0,1,51,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,70,1,1,0,0,1,0,0,7,197,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1.0,Train
49,0,117,0,5,2,0,1,1,1,1,1,0,1,1,48,1,1,1,0,1,0,6,79,67,14,36,5,24,41,1,2,3,3,0,1,1,1,0,0,0,61,28,292,595,111,1,0,0,2,3,1,1,1,1,0,0,1,1,0,12,0,1,0,3,0,92,2,14,1,86,12,486,745,747,660,661,1,1,1,1,1,1,1,1,0,51,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,70,0,1,1,1,1,0,1,1,61,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,0,1.0,Train
9,1,128,1,5,0,0,1,1,1,1,1,1,1,1,62,1,1,1,1,1,0,6,76,67,14,36,5,24,63,2,1,3,3,2,1,0,1,0,0,1,61,36,420,831,111,1,0,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,11,2,113,938,939,816,816,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,70,1,1,0,0,1,0,0,7,197,34,0,1,1,1,1,0,1,1,1,1,0,1,1,1,35,1,1,0.0,Train
15,0,10,0,5,2,0,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,2,74,65,12,36,2,24,63,1,1,3,3,0,0,1,1,2,1,2,61,28,493,291,36,0,0,1,1,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,44,3,17,16,947,103,106,93,93,1,1,1,0,1,1,0,1,1,51,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,70,1,1,0,1,0,0,0,3,197,77,1,1,0,1,1,0,1,1,1,1,0,1,0,1,64,1,1,0.0,Train
14,0,87,1,5,2,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,1,11,8,12,36,2,24,63,2,1,3,3,2,0,0,1,2,0,2,61,10,637,685,36,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,68,11,118,247,252,226,226,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,70,1,1,0,1,1,1,1,2,161,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,1,1,1.0,Train
